departure_time,arrival_time,driver_code,dtg_status,driving_time,driving_distance,speed_max,speed_avg,rpm_max,rpm_avg,volt_min,volt_max,overspeed_time,accumulated_distance
2022-11-01 9:12:13,2022-11-01 9:15:31,9179345,0,198,0,0,0.0,722,501.5,280,285,0,1045469
2022-11-01 9:33:48,2022-11-01 9:36:47,9179345,0,179,0,9,1.2,666,500.8,280,285,0,1045469
2022-11-01 9:44:30,2022-11-01 10:05:55,9179345,0,1285,18,102,49.0,1749,874.1,200,285,0,1045487
2022-11-01 10:18:50,2022-11-01 11:48:53,9179345,11,5403,110,111,73.1,1963,1141.1,275,285,6,1045597
2022-11-01 12:55:09,2022-11-01 14:36:43,9179345,11,6094,110,109,64.9,1889,1055.0,275,285,0,1045707
2022-11-01 15:35:33,2022-11-01 15:35:59,9179345,0,26,0,10,5.4,722,521.1,275,285,0,1045707
2022-11-01 15:45:15,2022-11-01 16:07:11,9179345,0,1316,18,109,48.0,1822,950.4,275,285,0,1045725
2022-11-01 16:19:50,2022-11-01 18:34:21,9179345,11,8071,110,111,48.8,1906,960.7,215,285,12,1045835
2022-11-01 18:45:30,2022-11-01 20:21:15,9179345,11,5745,111,111,68.8,1855,1091.7,270,285,4,1045946
2022-11-02 7:20:10,2022-11-02 7:22:17,9179345,0,127,0,0,0.0,798,499.7,280,285,0,1045946
2022-11-02 7:36:49,2022-11-02 8:04:57,9179345,0,1688,18,96,37.6,1837,803.9,280,285,0,1045964
2022-11-02 8:19:26,2022-11-02 9:54:59,9179345,11,5733,110,111,68.9,1714,1102.0,275,285,12,1046074
2022-11-02 10:45:16,2022-11-02 10:45:37,9179345,0,21,0,8,2.6,1071,571.9,275,285,0,1046074
2022-11-02 10:48:48,2022-11-02 12:46:15,9179345,11,7047,110,109,56.1,1904,965.8,240,285,0,1046184
2022-11-02 12:47:44,2022-11-02 12:53:05,9179345,0,321,0,9,0.8,1028,154.6,210,280,0,1046184
2022-11-02 13:33:54,2022-11-02 13:34:11,9179345,0,17,0,13,6.2,821,539.5,275,280,0,1046184
2022-11-02 13:45:51,2022-11-02 14:06:33,9179345,11,1242,18,107,50.8,1856,976.8,270,285,0,1046202
2022-11-02 14:20:32,2022-11-02 15:40:47,9179345,11,4815,93,111,68.8,1981,1102.8,270,285,2,1046295
